TIME,H_SIN,H_COS,DOY_SIN,DOY_COS,TEMP,HUMI,CLOU,WISP,WIDE_SIN,WIDE_COS,SUN_ELEV_CLIP,COS_ZEN,IRRADIANCE,EST_IRRADIANCE,IRRADIANCE_PROXY,IRRADIANCE_X_CAPA,CAPA,SEASONAL_SOLAR_PATTERN,WEATHER_ADJUSTED_PATTERN,EXPECTED_GEN_PROXY,GEN_LAG_2,dust_coverage_ratio,snow_coverage_ratio,bird_dropping_count,physical_damage_count,max_defect_confidence,cls_normal,cls_dust,cls_snow,cls_bird,cls_damage,PREDICTION,ACTUAL
2025-11-05 21:00:00,-0.7071067811865477,0.7071067811865474,-0.8214765533024145,0.5702422926917867,12.25,67.0,27.0,3.02,0.4383711467890774,0.898794046299167,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.0,0.020852815572721773,20.193345280234446,0.0,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,0.0,0.0
2025-11-05 22:00:00,-0.5000000000000004,0.8660254037844384,-0.8214765533024145,0.5702422926917867,11.79,67.0,1.0,2.92,0.4694715627858908,0.882947592858927,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.0,0.010997906572859883,10.650097777493189,0.0,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,0.0,0.0
2025-11-05 23:00:00,-0.25881904510252157,0.9659258262890681,-0.8214765533024145,0.5702422926917867,11.47,66.0,0.0,2.8,0.45399049973954675,0.8910065241883679,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.0,0.0038659201394728076,3.74366041506198,0.0,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,0.0,0.0
2025-11-06 00:00:00,0.0,1.0,-0.8115390590073611,0.5842981736283683,11.17,66.0,0.0,2.75,0.6018150231520483,0.7986355100472928,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.0,8.364834722972752e-05,0.0810029682485874,0.0,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,0.0,0.0
2025-11-06 01:00:00,0.25881904510252074,0.9659258262890683,-0.8115390590073611,0.5842981736283683,10.85,65.0,0.0,2.4,0.4383711467890774,0.898794046299167,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.0,0.00033546262790251185,0.3248536222950949,0.0,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,0.0,0.0
2025-11-06 02:00:00,0.49999999999999994,0.8660254037844387,-0.8115390590073611,0.5842981736283683,10.6,65.0,0.0,2.69,0.7771459614569709,0.6293203910498375,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.0,0.001203859994828203,1.165787922491761,0.0,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,0.0,0.0
2025-11-06 03:00:00,0.7071067811865476,0.7071067811865476,-0.8115390590073611,0.5842981736283683,10.16,66.0,0.0,2.53,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.0,0.0038659201394728076,3.74366041506198,0.0,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,0.0,0.0
2025-11-06 04:00:00,0.8660254037844386,0.5000000000000001,-0.8115390590073611,0.5842981736283683,9.99,66.0,0.0,2.28,0.5591929034707469,0.8290375725550417,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.0,0.011108996538242306,10.757674522720393,0.0,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,0.0,0.0
2025-11-06 05:00:00,0.9659258262890683,0.25881904510252074,-0.8115390590073611,0.5842981736283683,9.79,66.0,4.0,2.67,0.7193398003386512,0.6946583704589973,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.0,0.02742288075316836,26.55563214934941,0.0,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,0.0,0.0
2025-11-06 06:00:00,1.0,6.123233995736766e-17,-0.8115390590073611,0.5842981736283683,9.39,67.0,3.0,2.35,0.8290375725550417,0.5591929034707468,0.0,0.0,0.0,0.0,0.0,0.0,968.375,0.0,0.06375667275803455,61.74036798206171,0.0,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,0.6157055822106453,0.17
2025-11-06 07:00:00,0.9659258262890683,-0.25881904510252063,-0.8115390590073611,0.5842981736283683,9.37,67.0,27.0,2.56,0.6691306063588582,0.7431448254773942,0.25881904510252074,0.25881904510252074,0.0,0.18893790292484014,0.25881904510252074,182.96274174484208,968.375,0.0,0.09879475676272727,95.67037258010602,0.0,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,16.910125230519224,44.710000000000015
2025-11-06 08:00:00,0.8660254037844387,-0.4999999999999998,-0.8115390590073611,0.5842981736283683,10.04,67.0,25.0,2.53,0.5299192642332049,0.848048096156426,0.49999999999999994,0.49999999999999994,27.5,0.37499999999999994,0.49999999999999994,363.14062499999994,968.375,0.0,0.18701415658297216,181.09983388103566,0.17,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,154.365669289928,142.78000000000003
2025-11-06 09:00:00,0.7071067811865476,-0.7071067811865475,-0.8115390590073611,0.5842981736283683,12.08,59.0,24.0,2.16,0.6560590289905073,0.754709580222772,0.7071067811865476,0.7071067811865476,140.9,0.5374011537017762,0.7071067811865476,520.4058422159576,968.375,0.0,0.3124453407854625,302.56425688312225,44.710000000000015,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,278.17504060172183,312.38000000000005
2025-11-06 10:00:00,0.49999999999999994,-0.8660254037844387,-0.8115390590073611,0.5842981736283683,14.05,52.0,53.0,3.02,0.6156614753256583,0.7880107536067219,0.8660254037844386,0.8660254037844386,282.58,0.4070319397786861,0.8660254037844386,394.15955468318515,968.375,0.0,0.2850694100649377,276.054089971634,142.78000000000003,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,451.1997015912288,507.86
2025-11-06 11:00:00,0.258819045102521,-0.9659258262890682,-0.8115390590073611,0.5842981736283683,14.96,50.0,75.0,2.81,0.7071067811865476,0.7071067811865476,0.9659258262890683,0.9659258262890683,418.65,0.24148145657226708,0.9659258262890683,233.84460550816914,968.375,0.0,0.20018435072920202,193.853520637391,312.38000000000005,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,519.1495415136724,513.5400000000001
2025-11-06 12:00:00,1.2246467991473532e-16,-1.0,-0.8115390590073611,0.5842981736283683,16.27,45.0,83.0,2.2,0.3420201433256687,0.9396926207859084,1.0,1.0,493.33,0.17000000000000004,1.0,164.62375000000003,968.375,0.0,0.16081310971415017,155.72739511944016,507.86,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,565.8659973047966,570.63
2025-11-06 13:00:00,-0.2588190451025208,-0.9659258262890683,-0.8115390590073611,0.5842981736283683,17.29,44.0,72.0,2.12,0.1908089953765448,0.981627183447664,0.9659258262890683,0.9659258262890683,539.15,0.27045923136093913,0.9659258262890683,261.9059581691494,968.375,0.0,0.28,271.14500000000004,513.5400000000001,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,559.1290077729002,535.7500000000001
2025-11-06 14:00:00,-0.4999999999999997,-0.8660254037844388,-0.8115390590073611,0.5842981736283683,17.83,44.0,75.0,2.36,-0.2588190451025207,0.9659258262890683,0.8660254037844387,0.8660254037844387,481.65,0.21650635094610968,0.8660254037844387,209.65933759743896,968.375,0.0,0.23648986722669135,229.01087517564724,570.63,0.0,0.0,-0.1313459941718111,-0.3195659907617397,0.0,0,0,0,0,0,437.2277538585058,414.8999999999999
